dr,cr,net,holding,p&l,nifty_performance,strategy_performance
0.0,204651.16,-12764666.9,12545297.0,-219369.9,,
0.0,204651.16,-12764666.9,12622276.0,-142390.9,,
0.0,204651.16,-12764666.9,12744950.0,-19716.9,,
0.0,204651.16,-12764666.9,12634547.0,-130119.9,,
0.0,204651.16,-12764666.9,12438779.0,-325887.9,,
0.0,204651.16,-12764666.9,12282772.0,-481894.9,,
0.0,204651.16,-12764666.9,12451390.0,-313276.9,,
0.0,204651.16,-12764666.9,12287030.0,-477636.9,,
0.0,204651.16,-12764666.9,12424696.0,-339970.9,,
0.0,204651.16,-12764666.9,12347546.0,-417120.9,,
0.0,204651.16,-12764666.9,12567157.0,-197509.9,,
0.0,204651.16,-12764666.9,12738029.0,-26637.9,,
0.0,204651.16,-12764666.9,12965856.0,201189.1,,
0.0,204651.16,-12764666.9,13112870.0,348203.1,,
0.0,204651.16,-12764666.9,13042072.0,277405.1,,
0.0,204651.16,-12764666.9,13060611.0,295944.1,,
0.0,204651.16,-12764666.9,13183221.0,418554.1,,
0.0,204651.16,-12764666.9,13286299.0,521632.1,,
0.0,204651.16,-12764666.9,13436217.0,671550.1,,
0.0,204651.16,-12764666.9,13292374.0,527707.1,,
0.0,204651.16,-12764666.9,13184856.0,420189.1,,
0.0,204651.16,-12764666.9,13156431.0,391764.1,,
0.0,204651.16,-12764666.9,13298994.0,534327.1,,
0.0,204651.16,-12764666.9,13074338.0,309671.1,,
0.0,204651.16,-12764666.9,13132867.0,368200.1,,
0.0,204651.16,-12764666.9,13170627.0,405960.1,,
0.0,204651.16,-12764666.9,13178376.0,413709.1,,
0.0,204651.16,-12764666.9,13167673.0,403006.1,,
0.0,204651.16,-12764666.9,13264053.0,499386.1,,
0.0,204651.16,-12764666.9,13332813.0,568146.1,,
0.0,204651.16,-12764666.9,13399893.0,635226.1,,
0.0,204651.16,-12764666.9,13344653.0,579986.1,,
0.0,204651.16,-12764666.9,13214995.0,450328.1,,
0.0,204651.16,-12764666.9,13131664.0,366997.1,,
37173.6,0,-12801840.5,13387637.0,585796.5,,
131007.46,0,-12932847.96,13387637.0,454789.04,,
131007.46,0,-12932847.96,13367592.0,434744.04,,
131007.46,0,-12932847.96,13463103.0,530255.04,,
