dr,cr,net,holding,p&l,nifty_performance,strategy_performance
1444239.67,0,-20436420.14,16334152.0,-4102268.14,0.9374018442,0.8153918161
1444239.67,0,-20436420.14,16596165.0,-3840255.14,0.9337248355,0.8284713599
1444239.67,0,-20436420.14,16462532.0,-3973888.14,0.9320079751,0.8218004745
1444239.67,0,-20436420.14,16625663.0,-3810757.14,0.9249526281,0.8299438837
1444239.67,0,-20436420.14,16306356.0,-4130064.14,0.912697251,0.8140042552
1444239.67,0,-20436420.14,15741332.0,-4695088.14,0.9116469597,0.7857985702
1444239.67,0,-20436420.14,15833360.0,-4603060.14,0.9110990676,0.790392557
1444239.67,0,-20436420.14,15749065.0,-4687355.14,0.9070581161,0.7861845973
1444239.67,0,-20436420.14,15334741.0,-5101679.14,0.9082547758,0.7655017728
1444239.67,0,-20436420.14,15352797.0,-5083623.14,0.907693038,0.7664031183
1444239.67,0,-20436420.14,15117847.0,-5318573.14,0.9072025065,0.7546745445
1444239.67,0,-20436420.14,15474908.0,-4961512.14,0.9064212163,0.7724988318
1444239.67,0,-20436420.14,15670109.0,-4766311.14,0.901782924,0.7822431575
1444239.67,0,-20436420.14,15611372.0,-4825048.14,0.8921878894,0.779311039
1444239.67,0,-20436420.14,15356389.0,-5080031.14,0.8919584472,0.766582429
1444239.67,0,-20436420.14,15304423.0,-5131997.14,0.8918595497,0.763988315
1444239.67,0,-20436420.14,14822883.0,-5613537.14,0.8752309256,0.7399501051
1444239.67,0,-20436420.14,14420462.0,-6015958.14,0.8750173071,0.7198614718
1444239.67,0,-20436420.14,14269822.0,-6166598.14,0.8735674698,0.7123416065
1444239.67,0,-20436420.14,14417041.0,-6019379.14,0.8836411683,0.7196906974
1444239.67,0,-20436420.14,14815700.0,-5620720.14,0.8918457041,0.7395915337
0.0,9468953.26,-10967466.88,5541767.0,-5425699.88,0.8921542643,0.2766419376
0.0,850583.33,-10116883.81,5541767.0,-4575116.81,0.8885069248,0.2766419376
9856893.5,0,-19973777.05,14244817.0,-5728960.05,0.8899943431,0.7110933707
9856893.5,0,-19973777.05,14157971.0,-5815806.05,0.8889104266,0.7067580665
9856893.5,0,-19973777.05,14132624.0,-5841153.05,0.8860107521,0.7054927583
9856893.5,0,-19973777.05,14119796.0,-5853981.05,0.8904235582,0.7048523917
9856893.5,0,-19973777.05,14234484.0,-5739293.05,0.9033019894,0.7105775531
9856893.5,0,-19973777.05,14581989.0,-5391788.05,0.9062016639,0.7279248101
9856893.5,0,-19973777.05,15089842.0,-4883935.05,0.9173988378,0.7532765504
9856893.5,0,-19973777.05,15242592.0,-4731185.05,0.9237183874,0.7609017458
9856893.5,0,-19973777.05,15490002.0,-4483775.05,0.9359005803,0.7732523159
9856893.5,0,-19973777.05,15643593.0,-4330184.05,0.936308038,0.7809194935
9856893.5,0,-19973777.05,15496029.0,-4477748.05,0.9291162125,0.7735531804
9856893.5,0,-19973777.05,15296878.0,-4676899.05,0.933273863,0.7636116728
9856893.5,0,-19973777.05,15708534.0,-4265243.05,0.9304018798,0.7841613122
9856893.5,0,-19973777.05,15766584.0,-4207193.05,0.9164118408,0.7870591361
9856893.5,0,-19973777.05,15605887.0,-4367890.05,0.9230043475,0.7790372309
9856893.5,0,-19973777.05,15861857.0,-4111920.05,0.9197506201,0.7918151114
9856893.5,0,-19973777.05,15957121.0,-4016656.05,0.906077053,0.7965706375
9856893.5,0,-19973777.05,15327161.0,-4646616.05,0.8766906526,0.7651233834
9856893.5,0,-19973777.05,14538495.0,-5435282.05,0.891495607,0.7257536137
9856893.5,0,-19973777.05,14926775.0,-5047002.05,0.8860878922,0.7451363362
9856893.5,0,-19973777.05,14846767.0,-5127010.05,0.9030745252,0.7411423811
9856893.5,0,-19973777.05,15356072.0,-4617705.05,0.9228540233,0.7665666045
9856893.5,0,-19973777.05,15963451.0,-4010326.05,0.9228540233,0.7968866276
9856893.5,0,-19973777.05,16167269.0,-3806508.05,0.9228540233,0.8070611092
9856893.5,0,-19973777.05,16293157.0,-3680620.05,0.9228540233,0.8133453684
9856893.5,0,-19973777.05,16589314.0,-3384463.05,0.9228540233,0.8281293617
9856893.5,0,-19973777.05,16704408.0,-3269369.05,0.9228540233,0.8338747904
9856893.5,0,-19973777.05,16855425.0,-3118352.05,0.9228540233,0.8414134754
9856893.5,0,-19973777.05,16909032.0,-3064745.05,0.9228540233,0.8440895071
9856893.5,0,-19973777.05,16475181.0,-3498596.05,0.9228540233,0.8224319056
9856893.5,0,-19973777.05,16827978.0,-3145799.05,0.9228540233,0.8400433363
9856893.5,0,-19973777.05,17130289.0,-2843488.05,0.9228540233,0.8551345339
9856893.5,0,-19973777.05,16946268.0,-3027509.05,0.9228540233,0.8459483076
9856893.5,0,-19973777.05,16874574.0,-3099203.05,0.9228540233,0.8423693828
9856893.5,0,-19973777.05,17176295.0,-2797482.05,0.9228540233,0.857431128
9856893.5,0,-19973777.05,16668901.0,-3304876.05,0.9228540233,0.8321023007
9856893.5,0,-19973777.05,16758670.0,-3215107.05,0.9228540233,0.8365835194
9856893.5,0,-19973777.05,16634845.0,-3338932.05,0.9228540233,0.830402244
9856893.5,0,-19973777.05,16619066.0,-3354711.05,0.9228540233,0.8296145651
9856893.5,0,-19973777.05,17285497.0,-2688280.05,0.9228540233,0.8628824313
9856893.5,0,-19973777.05,17558479.0,-2415298.05,0.9228540233,0.8765095415
9856893.5,0,-19973777.05,18040659.0,-1933118.05,0.9228540233,0.9005796998
9856893.5,0,-19973777.05,18134143.0,-1839634.05,0.9228540233,0.9052463693
9856893.5,0,-19973777.05,18606594.0,-1367183.05,0.9228540233,0.9288308614
9856893.5,0,-19973777.05,18601087.0,-1372690.05,0.9228540233,0.928555955
9856893.5,0,-19973777.05,18267668.0,-1706109.05,0.9228540233,0.9119118633
9856893.5,0,-19973777.05,18372689.0,-1601088.05,0.9228540233,0.9171544535
9856893.5,0,-19973777.05,18545296.0,-1428481.05,0.9228540233,0.9257708992
9856893.5,0,-19973777.05,17651635.0,-2322142.05,0.9228540233,0.8811598374
9856893.5,0,-19973777.05,17770364.0,-2203413.05,0.9228540233,0.8870867232
9856893.5,0,-19973777.05,17980072.0,-1993705.05,0.9228540233,0.8975552304
9856893.5,0,-19973777.05,19108398.0,-865379.05,0.9228540233,0.953880639
9856893.5,0,-19973777.05,19529829.0,-443948.05,0.9228540233,0.974918241
9856893.5,0,-19973777.05,19429170.0,-544607.05,0.9228540233,0.9698933995
9856893.5,0,-19973777.05,19353955.0,-619822.05,0.9228540233,0.9661387084
0.0,1126351.56,-18847425.89,19611766.0,764340.11,,
1133779.65,0,-19981205.54,19611766.0,-369439.54,,
,0,-19981205.54,19436799.0,-544406.54,,
,0,-19981205.54,19569757.0,-411448.54,,
,0,-19981205.54,19566898.0,-414307.54,,
,0,-19981205.54,20091866.0,110660.46,,
,0,-19981205.54,20173490.0,192284.46,,
,0,-19981205.54,20272556.0,291350.46,,
,0,-19981205.54,19893139.0,-88066.54,,
,0,-19981205.54,19839722.0,-141483.54,,
,0,-19981205.54,19904229.0,-76976.54,,
,0,-19981205.54,19786751.0,-194454.54,,
,0,-19981205.54,19787684.0,-193521.54,,
,0,-19981205.54,19387303.0,-593902.54,,
,0,-19981205.54,19652271.0,-328934.54,,
,0,-19981205.54,19814406.0,-166799.54,,
,0,-19981205.54,19953890.0,-27315.54,,
,0,-19981205.54,20122776.0,141570.46,,
,0,-19981205.54,20130809.0,149603.46,,
,0,-19981205.54,20395255.0,414049.46,,
,0,-19981205.54,20633991.0,652785.46,,
,0,-19981205.54,20427388.0,446182.46,,
,0,-19981205.54,20504924.0,523718.46,,
,0,-19981205.54,20542415.0,561209.46,,
,0,-19981205.54,20476258.0,495052.46,,
,0,-19981205.54,20246494.0,265288.46,,
,0,-19981205.54,19967186.0,-14019.54,,
,0,-19981205.54,20241329.0,260123.46,,
,0,-19981205.54,20160750.0,179544.46,,
,0,-19981205.54,19961641.0,-19564.54,,
,0,-19981205.54,20223669.0,242463.46,,
,0,-19981205.54,20433654.0,452448.46,,
,0,-19981205.54,20455380.0,474174.46,,
,0,-19981205.54,20463384.0,482178.46,,
,0,-19981205.54,20324163.0,342957.46,,
,0,-19981205.54,20366447.0,385241.46,,
,0,-19981205.54,20309855.0,328649.46,,
,0,-19981205.54,20371382.0,390176.46,,
,0,-19981205.54,20251370.0,270164.46,,
,0,-19981205.54,19813613.0,-167592.54,,
,0,-19981205.54,19551906.0,-429299.54,,
,0,-19981205.54,19774760.0,-206445.54,,
,0,-19981205.54,19856585.0,-124620.54,,
,0,-19981205.54,19766068.0,-215137.54,,
,0,-19981205.54,19394504.0,-586701.54,,
,0,-19981205.54,19610281.0,-370924.54,,
,0,-19981205.54,19518596.0,-462609.54,,
,0,-19981205.54,19404674.0,-576531.54,,
,0,-19981205.54,19347601.0,-633604.54,,
,0,-19981205.54,18850750.0,-1130455.54,,
,0,-19981205.54,18884799.0,-1096406.54,,
,0,-19981205.54,18860815.0,-1120390.54,,
,0,-19981205.54,19104137.0,-877068.54,,
,0,-19981205.54,19026643.0,-954562.54,,
,0,-19981205.54,19229459.0,-751746.54,,
,0,-19981205.54,19359846.0,-621359.54,,
,0,-19981205.54,19572176.0,-409029.54,,
,0,-19981205.54,19690378.0,-290827.54,,
,0,-19981205.54,19629493.0,-351712.54,,
,0,-19981205.54,19622788.0,-358417.54,,
,0,-19981205.54,19184403.0,-796802.54,,
,0,-19981205.54,18958818.0,-1022387.54,,
,0,-19981205.54,18825304.0,-1155901.54,,
,0,-19981205.54,19193926.0,-787279.54,,
0.0,7525912.14,-12455293.62,11672701.0,-782592.62,,
0.0,,-12455293.62,11838513.0,-616780.62,,
0.0,,-12455293.62,11658685.0,-796608.62,,
0.0,,-12455293.62,11757924.0,-697369.62,,
0.0,,-12455293.62,11736002.0,-719291.62,,
0.0,,-12455293.62,11810733.0,-644560.62,,
0.0,,-12455293.62,11841898.0,-613395.62,,
0.0,,-12455293.62,11731466.0,-723827.62,,
0.0,,-12455293.62,11805077.0,-650216.62,,
0.0,,-12455293.62,11868271.0,-587022.62,,
0.0,,-12455293.62,11435515.0,-1019778.62,,
0.0,,-12455293.62,11499158.0,-956135.62,,
0.0,,-12455293.62,11404126.0,-1051167.62,,
0.0,,-12455293.62,11338964.0,-1116329.62,,
0.0,,-12455293.62,11313693.0,-1141600.62,,
0.0,,-12455293.62,11270366.0,-1184927.62,,
0.0,,-12455293.62,11727205.0,-728088.62,,
0.0,,-12455293.62,11627904.0,-827389.62,,
0.0,,-12455293.62,11361680.0,-1093613.62,,
0.0,,-12455293.62,11364486.0,-1090807.62,,
0.0,,-12455293.62,11171145.0,-1284148.62,,
0.0,,-12455293.62,11283153.0,-1172140.62,,
0.0,,-12455293.62,11465574.0,-989719.62,,
0.0,,-12455293.62,11618447.0,-836846.62,,
0.0,,-12455293.62,11593493.0,-861800.62,,
0.0,,-12455293.62,11520637.0,-934656.62,,
0.0,,-12455293.62,11650784.0,-804509.62,,
0.0,,-12455293.62,11731440.0,-723853.62,,
0.0,,-12455293.62,11724060.0,-731233.62,,
0.0,,-12455293.62,11593745.0,-861548.62,,
0.0,,-12455293.62,11710619.0,-744674.62,,
0.0,,-12455293.62,11728971.0,-726322.62,,
0.0,,-12455293.62,11708930.0,-746363.62,,
0.0,,-12455293.62,11710691.0,-744602.62,,
0.0,,-12455293.62,11770576.0,-684717.62,,
0.0,,-12455293.62,11653719.0,-801574.62,,
0.0,,-12455293.62,11621497.0,-833796.62,,
0.0,,-12455293.62,11683466.0,-771827.62,,
0.0,,-12455293.62,11652043.0,-803250.62,,
0.0,,-12455293.62,11759431.0,-695862.62,,
0.0,,-12455293.62,11662069.0,-793224.62,,
0.0,,-12455293.62,11589303.0,-865990.62,,
0.0,,-12455293.62,11702296.0,-752997.62,,
0.0,,-12455293.62,11592777.0,-862516.62,,
0.0,,-12455293.62,11532138.0,-923155.62,,
0.0,,-12455293.62,11582008.0,-873285.62,,
0.0,,-12455293.62,11532297.0,-922996.62,,
0.0,,-12455293.62,11563716.0,-891577.62,,
0.0,,-12455293.62,11651938.0,-803355.62,,
0.0,,-12455293.62,11566362.0,-888931.62,,
0.0,,-12455293.62,11658036.0,-797257.62,,
0.0,,-12455293.62,11732465.0,-722828.62,,
0.0,,-12455293.62,11602352.0,-852941.62,,
0.0,,-12455293.62,11637840.0,-817453.62,,
0.0,,-12455293.62,11695862.0,-759431.62,,
0.0,,-12455293.62,11438222.0,-1017071.62,,
0.0,,-12455293.62,11315982.0,-1139311.62,,
0.0,,-12455293.62,11381219.0,-1074074.62,,
0.0,,-12455293.62,11658226.0,-797067.62,,
0.0,,-12455293.62,11706164.0,-749129.62,,
0.0,,-12455293.62,11691767.0,-763526.62,,
0.0,,-12455293.62,11850424.0,-604869.62,,
0.0,,-12455293.62,11838994.0,-616299.62,,
