date,narration,bill_no,value_date,dr,cr,preminum,nifty
2026-07-21,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-07-20,434524.96,0,372554,-61970.96
2026-07-22,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-07-21,434524.96,0,388524,-46000.96
2026-07-23,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-07-22,434524.96,0,432841,-1683.96
2026-07-24,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-07-23,434524.96,0,465419,30894.04
2026-07-27,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-07-24,434524.96,0,483187,48662.04
2026-07-28,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-07-27,434524.96,0,416120,-18404.96
2026-07-29,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-07-28,434524.96,0,414505,-20019.96
2026-07-30,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-07-29,434524.96,0,365569,-68955.96
2026-07-31,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-07-30,434524.96,0,355878,-78646.96
2026-08-03,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-07-31,434524.96,0,330625,-103899.96
2026-08-04,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-03,434524.96,0,281895,-152629.96
2026-08-05,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-04,434524.96,0,290267,-144257.96
2026-08-06,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-05,434524.96,0,268927,-165597.96
2026-08-07,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-06,434524.96,0,258053,-176471.96
2026-08-10,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-07,434524.96,0,273045,-161479.96
2026-08-11,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-10,434524.96,0,267972,-166552.96
2026-08-12,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-11,434524.96,0,285216,-149308.96
2026-08-13,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-12,434524.96,0,295044,-139480.96
2026-08-14,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-13,434524.96,0,290563,-143961.96
2026-08-17,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-14,434524.96,0,290199,-144325.96
2026-08-18,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-17,434524.96,0,297024,-137500.96
2026-08-19,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-18,434524.96,0,335585,-98939.96
2026-08-20,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-19,434524.96,0,356970,-77554.96
2026-08-21,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-20,434524.96,0,315815,-118709.96
2026-08-24,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-21,434524.96,0,312607,-121917.96
2026-08-25,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-24,434524.96,0,330261,-104263.96
2026-08-26,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-25,434524.96,0,289971,-144553.96
2026-08-27,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-26,434524.96,0,301005,-133519.96
2026-08-28,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-27,434524.96,0,338201,-96323.96
2026-08-31,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-28,434524.96,0,321798,-112726.96
2026-09-01,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-08-31,434524.96,0,339407,-95117.96
2026-09-02,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-09-01,434524.96,0,385294,-49230.96
2026-09-03,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-09-02,434524.96,0,416507,-18017.96
2026-09-04,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-09-03,434524.96,0,411183,-23341.96
2026-09-07,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-09-04,434524.96,0,395008,-39516.96
2026-09-08,Option Premium Bill (NFO) 23-06-2026,OPTDLY/HPC39_10-2306,2026-09-07,434524.96,0,446514,11989.04
