date,narration,bill no,value date,dr,cr,net,holding,P&L,,,
2026-08-18 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-08-17 00:00:00,0,0,-9755761.56,9726803,-28958.56,,,
2026-08-19 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-08-18 00:00:00,0,0,-9755761.56,9722981,-32780.56,,,
2026-08-20 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-08-19 00:00:00,0,0,-9755761.56,9696521,-59240.56,,,
2026-08-21 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-08-20 00:00:00,0,0,-9755761.56,9742763,-12998.56,,,
2026-08-24 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-08-21 00:00:00,0,0,-9755761.56,9779193,23431.44,,,
2026-08-25 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-08-24 00:00:00,0,0,-9755761.56,9815394,59632.44,,,
2026-08-26 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-08-25 00:00:00,0,0,-9755761.56,9817321,61559.44,,,
2026-08-27 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-08-26 00:00:00,0,0,-9755761.56,9938512,182750.44,,,
2026-08-28 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-08-27 00:00:00,0,0,-9755761.56,9824865,69103.44,,,
2026-08-31 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-08-28 00:00:00,0,0,-9755761.56,9853824,98062.44,,,
2026-09-01 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-08-31 00:00:00,0,0,-9755761.56,9773556,17794.44,,,
2026-09-02 00:00:00,Settlement Posting-NG6145,DLV2-0508-NG6145/HPC39_10,2026-09-01 00:00:00,0,0,-9755761.56,9781398,25636.44,,,
2026-09-03 00:00:00,Settlement Posting-NG6166,DLV3-0309-NG6166/HPC39_10,2026-09-02 00:00:00,96770.33,0,-9852531.89,9885012,32480.11,,,
2026-09-04 00:00:00,Settlement Posting-NG6166,DLV3-0309-NG6166/HPC39_10,2026-09-03 00:00:00,,0,-9852531.89,9961941,109409.11,,,
2026-09-07 00:00:00,Settlement Posting-NG6166,DLV3-0309-NG6166/HPC39_10,2026-09-04 00:00:00,,0,-9852531.89,10032683,180151.11,,,
2026-09-08 00:00:00,Settlement Posting-NG6166,DLV3-0309-NG6166/HPC39_10,2026-09-07 00:00:00,,0,-9852531.89,9938231,85699.11,,,
2026-09-09 00:00:00,Settlement Posting-NG6166,DLV3-0309-NG6166/HPC39_10,2026-09-08 00:00:00,,0,-9852531.89,9914220,61688.11,,,
2026-09-10 00:00:00,Settlement Posting-NG6166,DLV3-0309-NG6166/HPC39_10,2026-09-09 00:00:00,,0,-9852531.89,9892403,39871.11,,,
2026-09-11 00:00:00,Settlement Posting-NG6166,DLV3-0309-NG6166/HPC39_10,2026-09-10 00:00:00,,0,-9852531.89,9912415,59883.11,,,
2026-09-15 00:00:00,Settlement Posting-NG6166,DLV3-0309-NG6166/HPC39_10,2026-09-11 00:00:00,,0,-9852531.89,9839016,-13515.89,,,
2026-09-16 00:00:00,Settlement Posting-NG6166,DLV3-0309-NG6166/HPC39_10,2026-09-15 00:00:00,,0,-9852531.89,9595854,-256677.89,,,
2026-09-17 00:00:00,Settlement Posting-NG6166,DLV3-0309-NG6166/HPC39_10,2026-09-16 00:00:00,,0,-9852531.89,9610390,-242141.89,,,
