Total cash to be allocated,20000000,Rebalance Date,2026-08-04 00:00:00,,,,,,,,,,,,
Target rebalance date,2026-11-01 00:00:00,,,,,,,,,,,,,,
2026-08-04 00:00:00,qty,Buying Rate,Changed Qty,Amount at entry,Actual Price,Amount by M2M,P&L,,,,,,,,
CUMMINSIND,256,2812.35,,,,,,,,,,,,,
BAJAJ-AUTO,89,8504.9,,,,,,,,,,,,,
PERSISTENT,147,5698,,,,,,,,,,,,,
BEL,2896,255,,,,,,,,,,,,,
HINDPETRO,2161,322.1,,,,,,,,,,,,,
MOTHERSON,4785,128.5,,,,,,,,,,,,,
M&M,278,2663.5,,,,,,,,,,,,,
DIVISLAB,127,5702.75,,,,,,,,,,,,,
BOSCHLTD,22,27218,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,2026-02-02 00:00:00,,,,,,,,,,,,,
