Strategy,Profit,Capital,Portfolio Return,NIFTY 500 Start,NIFTY 500 End,NIFTY 500 Return
HPC39_5,405960.1,12764666.9,0.03180342293,23788.45,23530.3,-0.0109
HPC39_7,4678698.51,20068247.97,0.2331393611,21899.4,23530.3,0.0745
HPC39_8,592986.08,20063987.7,0.02955474699,22708.15,23530.3,0.0362
HPC39_10,23431.44,9889920.53,0.002369224295,23126,23530.3,0.0175
