Total cash to be allocated,20000000,Rebalance Date,2026-07-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,
Target rebalance date,2026-10-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01 00:00:00,Qty,Buying Rate,Changed Qty,Amount at entry,Actual Price,Amount by M2M,P&L,,,,,,,,,,,,,,,,,,
PERSISTENT,75,6090.63,75,456797.25,5467.5,410062.5,-0.1023096133,,,,,,,,,,,,,,,,,,
PNBHOUSING,410,1097.3,410,449893,1106,453460,0.0079285519,,,,,,,,,,,,,,,,,,
AMBER,94,7138.34,94,671003.96,7076,665144,-0.008733122827,,,,,,,,,,,,,,,,,,
BDL,194,1965.6,194,381326.4,1150.1,223119.4,-0.4148860399,,,,,,,,,,,,,,,,,,
BHARTIARTL,206,2024.6,206,417067.6,1834.8,377968.8,-0.09374691297,,,,,,,,,,,,,,,,,,
FORTIS,992,772.7,992,766518.4,885.65,878564.8,0.1461757474,,,,,,,,,,,,,,,,,,
HDFCLIFE,516,804.7,516,415225.2,558.25,288057,-0.3062632037,,,,,,,,,,,,,,,,,,
HINDPETRO,1100,440.8,1100,484880,351,386100,-0.2037205082,,,,,,,,,,,,,,,,,,
INDIGO,68,5943.5,68,404158,4842.5,329290,-0.1852443846,,,,,,,,,,,,,,,,,,
INOXWIND,2076,175.31,2076,363943.56,73.85,153312.6,-0.578746221,,,,,,,,,,,,,,,,,,
KAYNES,107,6137,107,656659,3525,377175,-0.4256151214,,,,,,,,,,,,,,,,,,
KFINTECH,746,1334.55,746,995574.3,899.2,670803.2,-0.326214829,,,,,,,,,,,,,,,,,,
MAZDOCK,233,3257.27,233,758943.91,2188.9,510013.7,-0.32799553,,,,,,,,,,,,,,,,,,
MFSL,407,1649.81,407,671472.67,1563,636141,-0.05261818028,,,,,,,,,,,,,,,,,,
NBCC,2991,120.05,2991,359069.55,82.03,245351.73,-0.3167013744,,,,,,,,,,,,,,,,,,
PEL,303,1152,303,349056,,,,,,,,,,,,,,,,,,,,,
PGEL,1453,743.35,1453,1080087.55,530.4,770671.2,-0.2864733975,,,,,,,,,,,,,,,,,,
PPLPHARMA,2197,204.39,2197,449044.83,203.78,447704.66,-0.002984490435,,,,,,,,,,,,,,,,,,
SOLARINDS,47,17043,47,801021,18860,886420,0.1066126856,,,,,,,,,,,,,,,,,,
SRF,113,3204.6,113,362119.8,2541.2,287155.6,-0.2070149161,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02 00:00:00,Qty,Buying Rate,Changed Qty,Amount at entry,Actual Price,Amount by M2M,P&L,,,,,,,,,,,,,,,,,,
BEL,2449,276.25,2449,676536.25,395.35,968212.15,0.4311312217,,,,,,,,,,,,,,,,,,
BSE,261,5528.4,783,1442912.4,3259.9,2552501.7,0.768992837,,,,,,,,,,,,,,,,,,
CDSL,536,1209.35,536,648211.6,1349.6,723385.6,0.1159713896,,,,,,,,,,,,,,,,,,
CHAMBLFERT,1746,622.75,1746,1087321.5,414.8,724240.8,-0.3339221196,,,,,,,,,,,,,,,,,,
COFORGE,87,7684.1,435,668516.7,1786,776910,0.1621400034,,,,,,,,,,,,,,,,,,
DIVISLAB,142,5595.44,142,794552.48,9313.5,1322517,0.6644803626,,,,,,,,,,,,,,,,,,
GLENMARK,497,1499.05,497,745027.85,2403.2,1194390.4,0.6031486608,,,,,,,,,,,,,,,,,,
HINDZINC,2074,449.25,2074,931744.5,569.9,1181972.6,0.268558709,,,,,,,,,,,,,,,,,,
JUBLFOOD,817,678.71,817,554506.07,483,394611,-0.2883558515,,,,,,,,,,,,,,,,,,
LAURUSLABS,1146,600.07,1146,687680.22,1955.2,2240659.2,2.258286533,,,,,,,,,,,,,,,,,,
MANAPPURAM,2297,232.62,2297,534328.14,316.55,727115.35,0.3608030264,,,,,,,,,,,,,,,,,,
MCX,141,5320.15,141,750141.15,3269,460929,-0.3855436407,,,,,,,,,,,,,,,,,,
MUTHOOTFIN,339,2318.52,339,785978.28,2773.4,940182.6,0.1961941238,,,,,,,,,,,,,,,,,,
PAYTM,1562,802,1562,1252724,1760.3,2749588.6,1.194887781,,,,,,,,,,,,,,,,,,
PERSISTENT,107,5237.7,107,560433.9,5467.5,585022.5,0.0438742196,,,,,,,,,,,,,,,,,,
PNBHOUSING,643,893.6,643,574584.8,1106,711158,0.2376902417,,,,,,,,,,,,,,,,,,
