,,,,dr,cr,net,holding,p&l,,,Nifty Performance,Strategy performance
2026-08-19 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-08-18 00:00:00,0,,-12764666.9,13298994,534327.1,,,,
2026-08-20 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-08-19 00:00:00,0,,-12764666.9,13074338,309671.1,,,,
2026-08-21 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-08-20 00:00:00,0,,-12764666.9,13132867,368200.1,,,,
2026-08-24 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-08-21 00:00:00,0,,-12764666.9,13170627,405960.1,,,,
2026-08-25 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-08-24 00:00:00,0,,-12764666.9,13178376,413709.1,,,,
2026-08-26 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-08-25 00:00:00,0,,-12764666.9,13167673,403006.1,,,,
2026-08-27 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-08-26 00:00:00,0,,-12764666.9,13264053,499386.1,,,,
2026-08-28 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-08-27 00:00:00,0,,-12764666.9,13332813,568146.1,,,,
2026-08-31 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-08-28 00:00:00,0,,-12764666.9,13399893,635226.1,,,,
2026-09-01 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-08-31 00:00:00,0,,-12764666.9,13344653,579986.1,,,,
2026-09-02 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-09-01 00:00:00,0,,-12764666.9,13214995,450328.1,,,,
2026-09-03 00:00:00,Settlement Posting-NG6102,DLV3-0406-NG6102/HPC39_5,2026-09-02 00:00:00,0,,-12764666.9,13131664,366997.1,,,,
2026-09-04 00:00:00,Settlement Posting-NG6167,DLV3-0409-NG6167/HPC39_5,2026-09-03 00:00:00,37173.6,0,-12801840.5,13387637,585796.5,,,,
2026-09-04 00:00:00,Settlement Posting-NU6167,DLV1-0409-NU6167/HPC39_5,2026-09-03 00:00:00,131007.46,0,-12932847.96,13387637,454789.04,,,,
2026-09-07 00:00:00,Settlement Posting-NU6167,DLV1-0409-NU6167/HPC39_5,2026-09-04 00:00:00,,0,-12932847.96,13367592,434744.04,,,,
2026-09-08 00:00:00,Settlement Posting-NU6167,DLV1-0409-NU6167/HPC39_5,2026-09-07 00:00:00,,0,-12932847.96,13463103,530255.04,,,,
2026-09-09 00:00:00,Settlement Posting-NU6167,DLV1-0409-NU6167/HPC39_5,2026-09-08 00:00:00,,0,-12932847.96,13611581,678733.04,,,,
2026-09-10 00:00:00,Settlement Posting-NU6167,DLV1-0409-NU6167/HPC39_5,2026-09-09 00:00:00,,0,-12932847.96,13652437,719589.04,,,,
2026-09-11 00:00:00,Settlement Posting-NU6167,DLV1-0409-NU6167/HPC39_5,2026-09-10 00:00:00,,0,-12932847.96,13647896,715048.04,,,,
2026-09-15 00:00:00,Settlement Posting-NU6167,DLV1-0409-NU6167/HPC39_5,2026-09-11 00:00:00,,0,-12932847.96,13552136,619288.04,,,,
2026-09-16 00:00:00,Settlement Posting-NU6167,DLV1-0409-NU6167/HPC39_5,2026-09-15 00:00:00,,0,-12932847.96,12986672,53824.04,,,,
2026-09-17 00:00:00,Settlement Posting-NU6167,DLV1-0409-NU6167/HPC39_5,2026-09-16 00:00:00,,0,-12932847.96,12962861,30013.04,,,,
